Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,October 2020,2,1200,5333,6399600,1200,Coimbatore
Available,Available,Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,3,6th of 8,NaN,NaN,NaN,NaN,October 2020,3,2470,14170,34999900,2470,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,April 2020,2,1360,6144,8355840,1360,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,April 2020,3,1676,5840,9787840,1676,Coimbatore
Not Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,February 2020,3,1866,5734,10699644,1866,Coimbatore
Available,Available,Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,3,1st of 8,NaN,NaN,NaN,NaN,October 2020,3,1650,4181,6898650,1650,Coimbatore
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,October 2020,2,980,3877,3799460,980,Coimbatore
Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Ready to move,3,2nd of 5,NaN,NaN,NaN,NaN,March 2020,3,1700,2647,4499900,1700,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,April 2020,2,1387,6196,8593852,1387,Coimbatore
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,April 2020,3,1921,6194,11898674,1921,Coimbatore
