"Url","Name","price","posteddate"
"https://www.makaan.com/varanasi/builder-varuna-resisdancy-in-sikraul-11471735/2bhk-2t-1020-sqft-apartment","1020 sq ft 2 BHK 2T North facing Apartment for sale at Rs 48.00 lacs in Varuna resisdancy 2th floor in Sikraul, Varanasi","48LEMINegotiable","Posted 4 months ago"
"https://www.makaan.com/varanasi/builder-welcome-paradise-in-paharia-9846676/1bhk-1t-650-sqft-apartment","650 sq ft 1 BHK 1T SouthEast facing Apartment for sale at Rs 20.00 lacs in Welcome paradise 2th floor in Paharia, Varanasi","20LEMINegotiable","Posted 8 months ago"
"https://www.makaan.com/varanasi/builder-vijay-ashok-vihar-apartment-in-pandeypur-11773409/3bhk-3t-1635-sqft-apartment","1635 sq ft 3 BHK 3T East facing Apartment for sale at Rs 65.50 lacs in Vijay ashok vihar apartment 1th floor in Pandeypur, Varanasi","65.5LEMINegotiable","Posted 3 months ago"
"https://www.makaan.com/varanasi/rudra-real-estate-laxmikunj-in-akatha-11254002/4bhk-3t-1742-sqft-apartment","1742 sq ft 4 BHK 3T East facing Apartment for sale at Rs 76.47 lacs in Rudra Real Estate Laxmikunj 5th floor in Akatha, Varanasi","76.47LEMINegotiable","Posted 5 months ago"
"https://www.makaan.com/varanasi/builder-project-in-rohaniya-9513764/3bhk-2t-1005-sqft-apartment","1005 sq ft 3 BHK 2T East facing Completed property Apartment for sale at Rs 32.16 lacs in Project 2th floor in Rohaniya, Varanasi","32.16LEMI","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-project-in-sankata-mochan-leprosy-9532627/3bhk-3t-1560-sqft-apartment","1560 sq ft 3 BHK 3T East facing Apartment for sale at Rs 1.05 crore in Project in Sankata Mochan Leprosy, Varanasi","1.05CrEMI","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-project-in-varanasi-cantt-11484248/2bhk-2t-1020-sqft-apartment","1020 sq ft 2 BHK 2T North facing Apartment for sale at Rs 48.00 lacs in Project in Varanasi Cantt, Varanasi","48LEMI","Posted 4 months ago"
"https://www.makaan.com/listings?propertyType=apartment&listingType=buy&pageType=CITY_URLS&cityName=Varanasi&cityId=60&templateId=MAKAAN_CITY_LISTING_BUY&page=6","properties in Varanasi :Makaan.com","NA","NA"
"https://www.makaan.com/varanasi/builder-indepandent-villa-in-bhojuveer-12309813/4bhk-3t-3600-sqft-apartment","3600 sq ft 4 BHK 3T East facing Completed property Apartment for sale at Rs 2.10 crore in Indepandent Villa 1th floor in Bhojuveer, Varanasi","2.1CrEMINegotiable","Posted 5 days ago"
"https://www.makaan.com/varanasi/builder-residential-flat-gated-socity-in-bhojuveer-12309750/3bhk-2t-1440-sqft-apartment","1440 sq ft 3 BHK 2T West facing Apartment for sale at Rs 75.00 lacs in Residential Flat Gated Socity 2th floor in Bhojuveer, Varanasi","75LEMINegotiable","Posted 5 days ago"
"https://www.makaan.com/varanasi/builder-project-in-manduwadih-6289369/2bhk-2t-1200-sqft-apartment","1200 sq ft 2 BHK 2T West facing Apartment for sale at Rs 40.00 lacs in Project 2th floor in Manduwadih, Varanasi","40LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/builder-residential-apartment-in-nadesar-7446865/3bhk-2t-1350-sqft-apartment","1350 sq ft 3 BHK 2T West facing Apartment for sale at Rs 75.00 lacs in residential apartment 1th floor in Nadesar, Varanasi","75LEMINegotiable","Posted a year ago"
"https://www.makaan.com/varanasi/builder-welcome-in-paharia-9355630/2bhk-2t-850-sqft-apartment","850 sq ft 2 BHK 2T South facing Completed property Apartment for sale at Rs 32.00 lacs in Welcome 2th floor in Paharia, Varanasi","32LEMINegotiable","Posted 9 months ago"
"https://www.makaan.com/varanasi/builder-project-in-sunderpur-5852175/2bhk-2t-950-sqft-apartment","950 sq ft 2 BHK 2T East facing Apartment for sale at Rs 47.00 lacs in Project 2th floor in Sunderpur, Varanasi","47LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/builder-sigra-thana-in-sigra-4259739/3bhk-2t-1500-sqft-apartment","1500 sq ft 3 BHK 2T East facing Apartment for sale at Rs 75.00 lacs in sigra thana 3th floor in Sigra, Varanasi","75LEMINegotiable","Posted 10 months ago"
"https://www.makaan.com/varanasi/builder-welcome-in-paharia-9355498/1bhk-1t-650-sqft-apartment","650 sq ft 1 BHK 1T East facing Completed property Apartment for sale at Rs 20.00 lacs in Welcome 2th floor in Paharia, Varanasi","20LEMINegotiable","Posted 9 months ago"
"https://www.makaan.com/varanasi/rudra-real-estate-awadh-residency-in-shivpur-7041625/4bhk-3t-1664-sqft-apartment","1664 sq ft 4 BHK 3T Apartment for sale at Rs 83.03 lacs in Rudra Real Estate Awadh Residency 4th floor in Shivpur, Varanasi","83.03LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/builder-rudra-garden-city-mugal-sarai-road-in-mugal-sarai-road-7127119/3bhk-2t-1067-sqft-apartment","1067 sq ft 3 BHK 2T Apartment for sale at Rs 34.04 lacs in Rudra Garden City Mugal Sarai Road 10th floor in Mugal Sarai Road, Varanasi","34.03LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/builder-welcome-in-paharia-9535790/2bhk-2t-900-sqft-apartment","900 sq ft 2 BHK 2T South facing Apartment for sale at Rs 32.00 lacs in Welcome 2th floor in Paharia, Varanasi","32LEMINegotiable","Posted 9 months ago"
"https://www.makaan.com/varanasi/rudra-real-estate-aishwaryam-in-shivpur-7033487/3bhk-2t-1182-sqft-apartment","1182 sq ft 3 BHK 2T Apartment for sale at Rs 49.53 lacs in Rudra Real Estate Aishwaryam 10th floor in Shivpur, Varanasi","49.52LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/rudra-real-estate-awadh-residency-in-shivpur-7041483/2bhk-2t-1064-sqft-apartment","1064 sq ft 2 BHK 2T Apartment for sale at Rs 53.09 lacs in Rudra Real Estate Awadh Residency 9th floor in Shivpur, Varanasi","53.09LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/s-raheja-sds-raheja-residency-in-akatha-8056877/2bhk-2t-1275-sqft-apartment","1275 sq ft 2 BHK 2T West facing Apartment for sale at Rs 53.00 lacs in S Raheja SDS Raheja Residency 6th floor in Akatha, Varanasi","53LEMINegotiable","Posted 7 months ago"
"https://www.makaan.com/varanasi/builder-ganpati-apartment-in-kamachha-road-7246482/3bhk-2t-1105-sqft-apartment","1105 sq ft 3 BHK 2T West facing Apartment for sale at Rs 45.00 lacs in ganpati apartment 2th floor in Kamachha Road, Varanasi","45LEMINegotiable","Posted a year ago"
"https://www.makaan.com/varanasi/builder-ram-janki-apartment-in-nati-imli-road-7246005/2bhk-1t-707-sqft-apartment","707 sq ft 2 BHK 1T NorthEast facing Apartment for sale at Rs 38.88 lacs in ram janki apartment 2th floor in Nati Imli Road, Varanasi","38.88LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/rudra-real-estate-aishwaryam-in-shivpur-7033258/2bhk-2t-980-sqft-apartment","980 sq ft 2 BHK 2T Under Construction property Apartment for sale at Rs 41.06 lacs in Rudra Real Estate Aishwaryam 9th floor in Shivpur, Varanasi","41.06LEMI","Posted a year ago"
"https://www.makaan.com/varanasi/builder-indepandent-residential-flat-in-sigra-12309566/1bhk-1t-500-sqft-apartment","500 sq ft 1 BHK 1T West facing Apartment for sale at Rs 26.00 lacs in Indepandent Residential Flat 2th floor in Sigra, Varanasi","26LEMI","Posted 5 days ago"
"https://www.makaan.com/varanasi/builder-welcome-in-paharia-9863558/2bhk-2t-850-sqft-apartment","850 sq ft 2 BHK 2T SouthEast facing Apartment for sale at Rs 32.00 lacs in Welcome 2th floor in Paharia, Varanasi","32LEMINegotiable","Posted 8 months ago"
