Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,March 2020,2,1090,3669,3999210,1090,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,April 2020,3,1350,3000,4050000,1350,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,3,5th of 5,NaN,NaN,NaN,NaN,March 2020,3,1508,3200,4825600,1508,Visakhapatnam
Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,February 2020,3,1350,3000,4050000,1350,Visakhapatnam
Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,3rd of 4,NaN,NaN,NaN,NaN,February 2020,3,1450,4827,6999150,1450,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,5th of 5,NaN,NaN,NaN,NaN,March 2020,3,1950,4051,7899450,1950,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,April 2020,2,1125,2900,3262500,1125,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,5th of 5,NaN,NaN,NaN,NaN,December 2019,3,1300,3600,4680000,1300,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,2nd of 2,NaN,NaN,NaN,NaN,February 2020,2,895,2458,2199910,895,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,December 2019,2,1000,3500,3500000,1000,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 4,NaN,NaN,NaN,NaN,December 2019,2,1150,3130,3599500,1150,Visakhapatnam
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 4,NaN,NaN,NaN,NaN,February 2020,2,1050,3428,3599400,1050,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Not Available,Under Construction,3,3rd of 5,NaN,NaN,NaN,NaN,March 2020,3,1800,3000,5400000,1800,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,3,2nd of 5,NaN,NaN,NaN,NaN,December 2019,3,1475,4135,6099125,1475,Visakhapatnam
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2020,3,1580,2848,4499840,1580,Visakhapatnam
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,4th of 4,NaN,NaN,NaN,NaN,December 2020,2,1050,6190,6499500,1050,Visakhapatnam
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 5,NaN,NaN,NaN,NaN,December 2020,2,1050,4000,4200000,1050,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,3,3rd of 5,NaN,NaN,NaN,NaN,December 2019,3,1840,5163,9499920,1840,Visakhapatnam
Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,December 2020,2,1180,3135,3699300,1180,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,5th of 5,NaN,NaN,NaN,NaN,December 2020,2,1139,3336,3799704,1139,Visakhapatnam
Available,Not Available,Available,Available,Not Available,Available,Not Available,Not Available,Ready to move,3,3rd of 5,NaN,NaN,NaN,NaN,February 2020,4,1930,4922,9499460,1930,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Available,Under Construction,3,12th of 20,NaN,NaN,NaN,NaN,December 2019,3,1497,5250,7859250,1497,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,May 2020,3,1425,3000,4275000,1425,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,3rd of 5,NaN,NaN,NaN,NaN,February 2020,3,1350,3000,4050000,1350,Visakhapatnam
Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,December 2019,3,1350,3000,4050000,1350,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 6,NaN,NaN,NaN,NaN,December 2020,2,1150,2956,3399400,1150,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,3rd of 5,NaN,NaN,NaN,NaN,April 2020,2,952,2993,2849336,952,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,April 2020,2,1125,2900,3262500,1125,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,3,2nd of 5,NaN,NaN,NaN,NaN,February 2020,3,1350,3333,4499550,1350,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,March 2020,2,1171,3199,3746029,1171,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,December 2020,2,1000,3700,3700000,1000,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,3rd of 5,NaN,NaN,NaN,NaN,December 2020,3,1530,2941,4499730,1530,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,February 2020,3,1350,2900,3915000,1350,Visakhapatnam
Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,December 2019,3,1425,2800,3990000,1425,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,4th of 5,NaN,NaN,NaN,NaN,February 2020,2,1017,3799,3863583,1017,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,April 2020,2,1000,3350,3350000,1000,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,March 2020,2,1000,3750,3750000,1000,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,March 2020,2,1133,3200,3625600,1133,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,December 2019,2,945,6500,6142500,945,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,2,4th of 8,NaN,NaN,NaN,NaN,December 2020,2,1050,3095,3249750,1050,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,February 2020,2,1150,3130,3599500,1150,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Available,Under Construction,3,12th of 20,NaN,NaN,NaN,NaN,December 2019,3,1497,5250,7859250,1497,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,5th of 12,NaN,NaN,NaN,NaN,December 2019,2,1150,4173,4798950,1150,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,3rd of 5,NaN,NaN,NaN,NaN,December 2019,2,1145,4803,5499435,1145,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,March 2020,3,1325,3500,4637500,1325,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,2nd of 5,NaN,NaN,NaN,NaN,December 2019,3,1575,4200,6615000,1575,Visakhapatnam
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,December 2020,2,1000,5600,5600000,1000,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,December 2020,2,1030,3883,3999490,1030,Visakhapatnam
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,3,7th of 12,NaN,NaN,NaN,NaN,December 2019,3,2300,6521,14998300,2300,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,December 2019,3,1300,3600,4680000,1300,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,October 2020,2,1125,2800,3150000,1125,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,February 2020,3,1350,2900,3915000,1350,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Not Available,Under Construction,3,1st of 5,NaN,NaN,NaN,NaN,March 2020,3,1800,3000,5400000,1800,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,May 2020,3,1350,3000,4050000,1350,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,3,3rd of 5,NaN,NaN,NaN,NaN,December 2020,3,1850,4000,7400000,1850,Visakhapatnam
Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,November 2020,3,1425,3000,4275000,1425,Visakhapatnam
Available,Not Available,Available,Available,Available,Available,Not Available,Available,Under Construction,2,4th of 5,NaN,NaN,NaN,NaN,November 2020,2,1125,3000,3375000,1125,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,1st of 6,NaN,NaN,NaN,NaN,December 2020,3,1600,4000,6400000,1600,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 4,NaN,NaN,NaN,NaN,November 2020,2,1102,5350,5895700,1102,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,NaN,NaN,NaN,1,NaN,December 2020,3,1180,3500,4130000,1180,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,November 2020,2,1000,3200,3200000,1000,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,November 2020,3,1180,3500,4130000,1180,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,1st of 6,NaN,NaN,NaN,NaN,December 2020,3,1595,4000,6380000,1595,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,2nd of 6,NaN,NaN,NaN,NaN,November 2020,3,1595,4000,6380000,1595,Visakhapatnam
Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,2,3rd of 5,NaN,NaN,NaN,NaN,November 2020,3,1425,3000,4275000,1425,Visakhapatnam
Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,2,3rd of 5,NaN,NaN,NaN,NaN,November 2020,2,1125,3000,3375000,1125,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,November 2020,2,1200,3200,3840000,1200,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,October 2020,3,1425,2800,3990000,1425,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,NaN,NaN,NaN,1,NaN,November 2020,3,1600,4000,6400000,1600,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,December 2020,2,1102,5599,6170098,1102,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,November 2020,2,1125,2700,3037500,1125,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,3rd of 5,NaN,NaN,NaN,NaN,November 2020,3,1800,2800,5040000,1800,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,3,1st of 5,NaN,NaN,NaN,NaN,November 2020,3,1925,6500,12512500,1925,Visakhapatnam
Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,3rd of 5,NaN,NaN,NaN,NaN,November 2020,2,1200,3200,3840000,1200,Visakhapatnam
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 5,NaN,NaN,NaN,NaN,November 2020,2,945,6300,5953500,945,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,November 2020,3,1425,2800,3990000,1425,Visakhapatnam
Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,October 2020,3,1350,2800,3780000,1350,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,3rd of 5,NaN,NaN,NaN,NaN,May 2020,2,1125,3000,3375000,1125,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,May 2020,3,1350,3000,4050000,1350,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,May 2020,3,1350,3000,4050000,1350,Visakhapatnam
Available,Available,Not Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,3rd of 5,NaN,NaN,NaN,NaN,May 2020,3,1425,3000,4275000,1425,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,May 2020,2,1125,3000,3375000,1125,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,May 2020,2,1125,3000,3375000,1125,Visakhapatnam
Available,Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,May 2020,3,1425,3000,4275000,1425,Visakhapatnam
Available,Not Available,Available,Available,Available,Available,Available,Not Available,Under Construction,2,3rd of 5,NaN,NaN,NaN,NaN,December 2019,3,1425,2800,3990000,1425,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,May 2020,2,1125,3000,3375000,1125,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,4,3rd of 5,NaN,NaN,NaN,NaN,December 2019,4,2250,3000,6750000,2250,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,May 2020,2,1125,3000,3375000,1125,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,4,2nd of 5,NaN,NaN,NaN,NaN,December 2019,4,2250,3000,6750000,2250,Visakhapatnam
Available,Not Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,October 2020,3,1425,2800,3990000,1425,Visakhapatnam
Available,Available,Available,Available,Not Available,Available,Available,Not Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,December 2019,3,1425,2800,3990000,1425,Visakhapatnam
Available,Available,Available,Available,Available,Available,Available,Not Available,Under Construction,2,2nd of 5,NaN,NaN,NaN,NaN,February 2020,3,1425,2800,3990000,1425,Visakhapatnam
Available,Available,Not Available,Available,Available,Available,Available,Not Available,Under Construction,3,3rd of 5,NaN,NaN,NaN,NaN,February 2020,3,1800,2800,5040000,1800,Visakhapatnam
