Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 5,NaN,NaN,NaN,NaN,April 2020,2,958,4070,3899060,958,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,June 2020,2,1206,4021,4849326,1206,Goa
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 3,NaN,NaN,NaN,NaN,December 2020,2,1070,6168,6599760,1070,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,1st of 3,NaN,NaN,NaN,NaN,December 2019,1,670,5970,3999900,670,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,2nd of 2,NaN,NaN,NaN,NaN,February 2020,2,1500,4333,6499500,1500,Goa
Not Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,1,2nd of 2,NaN,NaN,NaN,NaN,December 2019,1,860,7209,6199740,860,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,3rd of 3,NaN,NaN,NaN,NaN,March 2020,2,1023,5718,5849514,1023,Goa
Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,February 2020,1,800,9375,7500000,800,Goa
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,Gr of 4,NaN,NaN,NaN,NaN,December 2020,1,750,5200,3900000,750,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,December 2019,2,1238,4604,5699752,1238,Goa
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,February 2020,2,1215,5843,7099245,1215,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,1,NaN,NaN,NaN,1,NaN,September 2020,1,657,4566,2999862,657,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,September 2020,2,1377,12084,16639668,1377,Goa
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,March 2020,1,753,11288,8499864,753,Goa
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,2nd of 4,NaN,NaN,NaN,NaN,April 2020,1,685,14541,9960585,685,Goa
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,Gr of 3,NaN,NaN,NaN,NaN,February 2020,1,344,10174,3499856,344,Goa
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,1,NaN,New,NaN,NaN,NaN,September 2020,1,713,3807,2714391,713,Goa
Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Not Available,Under Construction,1,2nd of 2,NaN,NaN,NaN,NaN,December 2019,1,678,7374,4999572,678,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,NaN,NaN,NaN,1,NaN,December 2020,1,753,6108,4599324,753,Goa
Not Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,2,2nd of 4,NaN,NaN,NaN,NaN,October 2020,2,1184,5574,6599616,1184,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,8th of 8,NaN,NaN,NaN,NaN,December 2019,2,808,10519,8499352,808,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,December 2019,2,808,10519,8499352,808,Goa
Available,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,3,5th of 7,NaN,NaN,NaN,NaN,April 2020,3,1733,10185,17650605,1733,Goa
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,December 2020,2,1119,4647,5199993,1119,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,7th of 8,NaN,NaN,NaN,NaN,December 2019,1,548,11861,6499828,548,Goa
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,6th of 8,NaN,NaN,NaN,NaN,December 2020,2,1119,4423,4949337,1119,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,2,NaN,NaN,NaN,2,NaN,December 2020,2,1057,5392,5699344,1057,Goa
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,Gr of 3,NaN,NaN,NaN,NaN,December 2019,2,1152,6076,6999552,1152,Goa
Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 2,NaN,NaN,NaN,NaN,December 2020,2,1000,5500,5500000,1000,Goa
Not Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1316,6542,8609272,1316,Goa
Available,Available,Available,Available,Available,Not Available,Available,Available,Under Construction,2,1st of 4,NaN,NaN,NaN,NaN,March 2020,2,751,3752,2817752,751,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,4th of 4,NaN,NaN,NaN,NaN,December 2020,1,764,3534,2699976,764,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,June 2020,2,1100,4636,5099600,1100,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,1,7th of 8,NaN,NaN,NaN,NaN,December 2019,1,348,12931,4499988,348,Goa
Available,Not Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,2,NaN,NaN,NaN,3,NaN,March 2020,2,936,5235,4899960,936,Goa
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Under Construction,2,4th of 5,NaN,NaN,NaN,NaN,June 2020,2,1200,4500,5400000,1200,Goa
