Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,City,Carpet_area
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1205,5684,6849220,Bengaluru,900
Available,Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,3,1610,5279,8499190,Bengaluru,0
Available,Available,Available,Available,Available,Not Available,Not Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,November 2020,2,895,4189,3749155,Bengaluru,750
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,Resale,NaN,NaN,No,November 2020,3,750,3733,2799750,Bengaluru,0
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,2,1141,7423,8469643,Bengaluru,0
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1639,3294,5398866,Bengaluru,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,910,3846,3499860,Bengaluru,900
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,November 2020,3,1100,7272,7999200,Bengaluru,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,1,450,2888,1299600,Bengaluru,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1274,2747,3499678,Bengaluru,976
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1500,4200,6300000,Bengaluru,1300
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1800,6111,10999800,Bengaluru,1476
Available,Available,Not Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,1307,3825,4999275,Bengaluru,1100
Available,Not Available,Available,Available,Available,Not Available,Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1035,3845,3979575,Bengaluru,0
Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,1,640,7064,4520960,Bengaluru,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1760,5227,9199520,Bengaluru,0
Available,Available,Not Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,October 2020,3,1600,4250,6800000,Bengaluru,0
