Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,City,Carpet_area
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 6,NaN,NaN,NaN,NaN,October 2020,2,1724,3770,6499480,Dehradun,1326
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,1st of 3,NaN,NaN,NaN,NaN,December 2020,3,1800,3333,5999400,Dehradun,1650
Available,Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,December 2020,3,1680,3968,6666240,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,5th of 9,NaN,NaN,NaN,NaN,March 2020,2,1480,3600,5328000,Dehradun,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,NaN,NaN,3,NaN,November 2020,2,1390,3956,5498840,Dehradun,1000
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,3rd of 5,NaN,NaN,NaN,NaN,November 2020,1,580,4310,2499800,Dehradun,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,1st of 3,NaN,NaN,NaN,NaN,December 2019,2,1000,5500,5500000,Dehradun,950
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 7,NaN,NaN,NaN,NaN,March 2020,3,1460,3904,5699840,Dehradun,1200
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,NaN,1 rooms(servant room),NaN,NaN,February 2020,3,1900,3421,6499900,Dehradun,1200
Available,Available,Available,Not Available,Not Available,Available,Available,Available,Ready to move,3,5th of 6,NaN,NaN,NaN,NaN,March 2020,3,1917,2869,5499873,Dehradun,1200
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,1,NaN,NaN,NaN,1,NaN,February 2020,1,650,6923,4499950,Dehradun,0
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,February 2020,2,1325,3886,5148950,Dehradun,1060
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,1,5th of 8,NaN,NaN,NaN,NaN,March 2020,1,725,5372,3894700,Dehradun,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,3rd of 3,NaN,NaN,NaN,NaN,November 2020,1,500,4400,2200000,Dehradun,450
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 2,NaN,NaN,NaN,NaN,November 2020,2,1100,4090,4499000,Dehradun,0
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,3,1st of 10,NaN,NaN,NaN,NaN,December 2019,3,1920,5000,9600000,Dehradun,1900
Not Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,1,1st of 8,NaN,NaN,NaN,NaN,December 2019,1,522,4980,2599560,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,4,1st of 10,NaN,NaN,NaN,NaN,December 2019,5,2911,4294,12499834,Dehradun,0
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,3,4th of 6,NaN,NaN,NaN,NaN,November 2020,3,2125,2917,6198625,Dehradun,1600
Available,Available,Available,Not Available,Available,Not Available,Available,Available,Under Construction,2,8th of 8,NaN,NaN,NaN,NaN,March 2020,2,1475,8474,12499150,Dehradun,1280
Available,Available,Available,Not Available,Not Available,Not Available,Available,Available,Under Construction,4,4th of 10,NaN,NaN,NaN,NaN,March 2020,3,2185,4000,8740000,Dehradun,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,3,1800,4277,7698600,Dehradun,1800
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,Gr of 2,NaN,NaN,NaN,NaN,March 2020,3,2000,3000,6000000,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,3rd of 3,NaN,NaN,NaN,NaN,October 2020,1,654,5504,3599616,Dehradun,650
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,3rd of 7,NaN,NaN,NaN,NaN,March 2020,1,675,4148,2799900,Dehradun,650
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,1st of 3,NaN,NaN,NaN,NaN,November 2020,1,750,3333,2499750,Dehradun,650
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,October 2020,3,1800,3222,5799600,Dehradun,1250
Available,Available,Not Available,Available,Not Available,Available,Not Available,Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,November 2020,1,580,4482,2599560,Dehradun,406
Not Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,3,2nd of 5,NaN,NaN,NaN,NaN,February 2020,3,1821,4503,8199963,Dehradun,0
