Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 5,NaN,NaN,NaN,NaN,June 2020,2,1000,2599,2599000,1000,Raipur
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,2nd of 8,NaN,NaN,NaN,NaN,November 2020,1,635,2362,1499870,635,Raipur
Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,1st of 8,NaN,NaN,NaN,NaN,November 2020,3,1706,4806,8199036,1706,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 8,NaN,NaN,NaN,NaN,December 2019,2,1040,2402,2498080,1040,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,4th of 5,NaN,NaN,NaN,NaN,March 2020,3,1348,2594,3496712,1348,Raipur
Not Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 4,NaN,NaN,NaN,NaN,May 2020,3,1630,2250,3667500,1630,Raipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,NaN,"3 rooms(study room, servant room, pooja room)",NaN,NaN,December 2020,2,635,2360,1498600,635,Raipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,NaN,"3 rooms(study room, servant room, pooja room)",NaN,NaN,December 2020,2,710,3028,2149880,710,Raipur
Available,Available,Available,Available,Available,Not Available,Available,Not Available,Ready to move,3,6th of 6,NaN,NaN,NaN,NaN,November 2020,3,1348,2596,3499408,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,3rd of 8,NaN,NaN,NaN,NaN,November 2020,3,1348,2596,3499408,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 8,NaN,NaN,NaN,NaN,November 2020,2,1074,2327,2499198,1074,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,October 2020,2,1074,2188,2349912,1074,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 8,NaN,NaN,NaN,NaN,November 2020,3,1348,2596,3499408,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 7,NaN,NaN,NaN,NaN,November 2020,2,1074,2979,3199446,1074,Raipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,NaN,"3 rooms(study room, servant room, pooja room)",NaN,NaN,December 2020,3,1630,2250,3667500,1630,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,October 2020,2,1074,2327,2499198,1074,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,October 2020,3,1268,2523,3199164,1268,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,October 2020,3,1348,2596,3499408,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,October 2020,2,1074,2327,2499198,1074,Raipur
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,October 2020,3,1268,2523,3199164,1268,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 7,NaN,NaN,NaN,NaN,November 2020,2,1000,2600,2600000,1000,Raipur
