Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,622,3950,2456900,622,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,614,3950,2425300,614,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,620,3950,2449000,620,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,1,519,3950,2050050,519,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,627,3950,2476650,627,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,619,3950,2445050,619,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,1,522,3950,2061900,522,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,1,NaN,New,NaN,NaN,NaN,December 2020,2,821,3950,3242950,821,Chennai
Not Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Under Construction,1,NaN,New,NaN,NaN,NaN,December 2020,2,618,3950,2441100,618,Chennai
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,4,2280,11076,25253280,2280,Chennai
Available,Not Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,Gr,New,NaN,NaN,NaN,May 2020,3,1547,3699,5722353,1547,Chennai
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,2,1211,11232,13601952,1211,Chennai
Available,Not Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,Gr,New,NaN,NaN,NaN,May 2020,3,1591,3699,5885109,1591,Chennai
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,February 2020,3,1604,11151,17886204,1604,Chennai
Available,Not Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,Gr,New,NaN,NaN,NaN,May 2020,3,1737,3699,6425163,1737,Chennai
Available,Not Available,Available,Not Available,Available,Available,Available,Available,Ready to move,NaN,Gr,New,NaN,NaN,NaN,May 2020,3,1487,3699,5500413,1487,Chennai
